# Result of decoupled eigenmode identification for the first 15 mode(s)
# ConsideredModesCounter Mode TypeCounter Eigenfrequency [Hz] Type
1 {1: [27676531.370318986, 0.7118449426522373]} 1 0.20000 sway_y
2 {6: [1428425.5492372822, 0.03673934025816055]} 2 0.99218 sway_y
3 {10: [3426417.045948781, 0.08812801044106947]} 3 2.44839 sway_y
4 {13: [718821.0171855375, 0.018488194886459298]} 4 6.12338 sway_y
5 {2: [22351550.985601693, 0.5748855706173275]} 1 0.23000 sway_z
6 {4: [2848733.4691748735, 0.07326989375449777]} 2 0.92263 sway_z
7 {8: [4806649.319704937, 0.12362781172080599]} 3 2.03008 sway_z
8 {11: [1859680.6184174977, 0.047831291625964445]} 4 5.03373 sway_z
9 {14: [27006562.78810815, 0.6946132404348805]} 5 8.13056 sway_z
10 {3: [9485367111.907766, 0.9305729313244887]} 1 0.40000 torsional
11 {5: [83562672.34845404, 0.008198012795834613]} 2 0.97454 torsional
12 {9: [13913616.686111609, 0.0013650114868686484]} 3 2.09035 torsional
13 {7: [35929681.630015634, 0.9241173258748877]} 1 1.87208 longitudinal
14 {12: [130367.55980496075, 0.003353075097864217]} 2 5.23553 longitudinal
15 {15: [677885.4447785306, 0.017435325225785253]} 3 8.71231 longitudinal
