# Result of decoupled eigenmode identification for the first 15 mode(s)
# ConsideredModesCounter Mode TypeCounter Eigenfrequency [Hz] Type
1 {1: [1523144.942271559, 0.6291127761230676]} 1 0.40000 sway_y
2 {3: [49085.55401999052, 0.02027407129816634]} 2 2.07182 sway_y
3 {5: [642022.4230703833, 0.26517798648150975]} 3 5.53358 sway_y
4 {8: [287662.78705894167, 0.11881491349342929]} 4 12.76732 sway_y
5 {12: [442082.0715361138, 0.1825955439825343]} 5 22.97093 sway_y
6 {2: [1487256.037205505, 0.6142893879664223]} 1 0.61906 sway_z
7 {4: [50730.851684708905, 0.020953637472516173]} 2 3.09724 sway_z
8 {6: [654942.6319201536, 0.27051449007482287]} 3 8.06630 sway_z
9 {10: [269994.8409325509, 0.1115174263485816]} 4 18.72238 sway_z
10 {13: [496816.2558389848, 0.2052026995328507]} 5 33.42191 sway_z
11 {7: [7309451.678210878, 0.7323013056788603]} 1 8.11569 torsional
12 {11: [2734404.782948902, 0.27394779813335157]} 2 21.76275 torsional
13 {15: [910114.3666368562, 0.09118029208565635]} 3 38.41427 torsional
14 {9: [2077605.4562512084, 0.8581245947095157]} 1 12.99572 longitudinal
15 {14: [104884.88186456996, 0.04332116883423649]} 2 38.09273 longitudinal
